,hour,B,CO,NO2,O3,PM10,PM25,SO2
1131,23,5.331409799999999,0.60369001,28.2057105,22.4371,32.673448275862,30.422333333333,17.280207
1132,22,4.643066999999999,0.718801545,59.169185166667006,8.721475,32.327966101695,29.800833333333006,14.010930666666999
1133,21,3.067725235,0.563908675,49.231669666667,21.6258,21.383620689655,18.8565,13.604379333333002
1134,20,3.789868264,0.44922427,23.981389666667,48.614825,14.164,12.506666666666998,12.933747166666999
1135,19,2.8088607210000003,0.519098855,50.8735755,23.22845,19.496610169491998,15.5205,14.571492166667
1136,18,2.20561917,0.404744505,24.711479833333,49.11025,10.946666666667,8.9916666666667,14.154288833333002
1137,17,2.7085152765,0.426955265,20.8410455,52.58155,16.739107142857,12.182166666667,12.209411166667
1138,16,2.294508469,0.43093534,20.417019333333002,52.385375,23.268965517241,14.611166666667,13.448593833333002
1139,15,1.89651429,0.389950275,14.598615166666999,57.392825,15.476779661017,9.8616666666667,12.655463666666998
1140,14,2.3263389119999998,0.37529195,12.905698666666998,57.7885,15.421694915254,9.075,13.176080166666999
1141,13,2.1840435195,0.40511339,15.306388166666999,53.342975,20.74224137931,10.876166666666998,12.104222666666999
1142,12,3.1799272760000004,0.40107507,16.922788666667,50.257375,18.142372881356,8.983050847457598,12.993664666667
1143,11,6.85442236,0.51694379,38.226118333333,31.171875,19.479333333333003,14.233333333333,16.766691833333002
1144,10,12.14513768,1.074911475,69.109888833333,5.4397,51.728333333333,43.1325,23.429517833333
1145,9,12.857453425,1.36002075,74.75932016666698,2.09475,59.07775862069001,43.577166666667004,24.714859166666997
1146,8,8.48036165,1.243588995,47.592952000000004,2.3408,50.137288135593,39.868833333333,22.010582666667
1147,7,6.810643325,0.76665952,38.006134833333,1.9019,34.234166666667,31.9425,16.768911
1148,6,5.9396624000000005,0.67816595,34.703194166667,1.499575,35.19491525423701,33.130166666667,13.717113000000001
1149,5,4.614115475,0.61696987,23.075950333333,8.139599999999998,32.963448275862,32.53,11.600915666667
1150,4,4.54858221,0.557385235,11.133078,19.9367,34.257142857143,28.588666666667,11.186375333333
1151,3,5.677042305,0.61401879,15.720849833333002,14.088025,50.071186440678,36.861666666667,10.215711833333
1152,2,7.54092525,0.797898255,29.755159499999998,9.975,59.60403508771901,50.084666666667005,12.682981333333002
1153,1,7.3899444,0.88540166,50.902269,1.732325,44.801052631579,39.48,15.224814833333001
1154,0,6.40115512,0.8103432699999998,53.47830766666701,1.8221,43.081034482759,35.423833333333,14.921676666666999
