day,B,CO,NO2,O3,PM10,PM25,SO2
1,2.9075240909166666,0.565842894375,22.49278151388887,31.319283333333335,35.42180555555562,34.34131944444442,17.122276305555545
2,5.3289610962500005,0.9278580443478261,41.10738930434782,8.16966956521739,71.24090277777778,65.63791666666664,48.22820360869562
3,6.328517457416667,1.1704551168750001,55.087933312500134,10.723125000000001,71.00510416666674,54.876041666666616,19.824167201388875
4,3.0465374086666657,0.6676244139583334,33.0163883194445,31.72493333333333,33.497673611111075,28.291458333333292,12.681279972222216
5,4.575565527354166,0.9724374167391303,50.756167797101305,18.808223913043477,64.05551671374766,46.23967361111116,27.811773789855096
6,6.457601574583333,1.1768936162500003,58.04761470138924,11.826055208333335,97.12397073267704,78.52747222222222,27.049015652777797
7,3.148890745145833,0.6594223854166666,31.687188499999973,26.549709375000006,48.07030265503091,34.01299305555567,14.895786388888832
8,2.0522525249374994,0.4906710743478262,19.740989384057876,31.692888043478252,20.650286489345753,16.962861111111106,12.944437760869524
9,3.2726629591355922,0.5106054095021187,26.146235888418087,31.546212235169502,22.04970869613737,18.58116631355936,14.212937208215665
10,5.237326813875001,0.6504623629166667,34.31782452083337,24.901202083333327,31.475548688333294,25.43921045197746,14.849276354166705
11,4.4111925677291675,0.5555002917391305,19.86740712318843,38.37917391304348,32.481724120355125,29.547680689492623,11.33197196376815
12,3.0334781062916676,0.5213930608333331,23.64889045138889,47.55359583333333,26.328834515911755,21.324354710533203,10.168028695652144
13,3.327648824645834,0.5291493533333332,25.235534729166755,41.78776875,32.54473447588012,29.239713055957086,9.979999347222218
14,4.262272371833333,0.641498612173913,24.31268176811591,38.67032826086956,43.933137159880495,40.54014035087712,11.452656036231886
15,2.8271116811874997,0.542991439375,20.101257993055476,45.576883333333335,30.782252696475464,27.124912334815964,9.748059444444442
16,5.0413689580625,0.7351133808333333,29.200152819444458,41.850528125,50.32074251574778,44.46572818322417,16.726321493055625
17,5.325614985416666,0.7820927567391304,41.99827396376809,27.9963554347826,60.768326305578626,51.41639018489757,24.830796152173875
18,4.403027967104167,0.7409217016666667,33.87187970833333,31.600522916666662,47.4704027777777,37.223467478023174,13.7717045
19,6.486798420916666,0.9306183860416667,42.21305359027771,20.40621770833333,65.33709027777792,55.77831410831541,20.371173291666633
20,6.317177659166666,0.8471777456521739,36.034877521739006,14.313847916666667,67.25917137476462,63.1141789406181,28.058197775362434
21,3.3408844517291674,0.604037053125,24.975300625000077,44.76751086956523,36.452131944444496,32.86314412312313,14.487792597222123
22,5.845408422239131,0.8927818923913043,49.04786492753644,25.16880434782609,67.3278623188406,55.49450495849327,49.73339681884078
23,6.665681866833335,0.9883602491304346,44.57445124637682,25.078951041666667,78.34445138888859,64.34827450240272,14.424235985507273
24,5.387253036318182,0.98805053,46.42811183333332,27.008658333333333,93.62125000000015,80.65904247029022,13.244652416666707
25,6.320611706875002,1.1588716424999999,59.091075083333784,23.932518749999996,107.60874305555558,86.01103695856862,17.745566250000046
26,6.090218898208332,1.1506612078260867,55.114807478260694,22.602103124999985,115.39375000000025,87.29991967822536,19.40423895652178
27,3.519312696204546,0.7461819900000001,31.806165083333358,29.95793333333333,67.56727272727278,52.84598484848468,13.269466734848454
28,1.880580010608695,0.535559398478261,22.408791804347842,40.82969891304347,32.04847826086964,27.591231884058047,10.360131340579725
